Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_ol,lnl_ol,compuls
19,0,3,1,3,1,2,1,2,3,2,1,0,2,0,0,19,41,1
19,1,1,1,3,2,1,2,2,3,2,1,0,4,1,0,13,44,1
21,1,1,4,1,2,3,2,2,1,2,1,0,4,0,2,7,48,7
18,0,1,1,3,3,3,2,1,1,2,3,1,3,0,1,13,52,1.5
22,0,4,1,3,2,1,1,1,1,2,1,0,4,0,1,8,28,1.5
20,1,3,1,3,1,1,2,1,1,2,1,0,3,1,0,6,31,1.5
19,0,2,3,1,4,3,2,2,2,2,1,2,1,1,1,11,29,5
20,0,3,1,3,1,1,2,1,2,2,1,0,3,0,2,9,58,1.5
18,0,2,1,4,4,4,2,2,1,2,1,0,3,1,2,9,28,1
20,0,3,1,3,1,1,2,2,2,2,1,2,1,0,0,6,45,1
19,1,1,3,1,3,2,3,4,2,2,1,2,3,1,1,19,45,4
20,0,3,1,3,1,1,2,2,2,2,3,1,1,0,1,13,59,1
21,0,3,1,3,1,2,2,2,1,2,1,2,1,0,2,11,35,1
21,0,3,1,4,4,3,3,2,1,2,3,2,4,1,0,12,43,1
18,0,1,4,3,1,1,2,4,2,2,3,1,3,0,1,19,51,6
21,1,2,3,2,4,3,3,2,2,2,1,2,1,0,1,12,33,5
21,1,3,4,2,1,1,1,1,1,2,1,0,3,1,1,6,43,7.5
18,1,1,1,2,1,3,2,2,2,2,1,2,1,0,0,15,53,1
18,1,1,1,3,2,2,3,2,2,2,1,1,1,1,1,12,41,1
18,0,2,3,1,4,1,1,2,1,2,1,0,1,0,1,14,33,5
21,1,1,1,1,4,5,4,4,4,2,3,2,4,1,2,23,50,0
21,1,3,3,4,1,2,2,2,2,2,1,1,1,0,0,8,51,5
21,1,3,1,3,4,1,2,1,1,2,1,1,4,0,1,15,55,1.5
21,1,2,1,2,1,1,1,2,2,2,1,1,3,0,1,6,53,1
19,1,3,3,1,2,2,2,2,2,2,3,0,3,0,1,17,52,5
21,1,3,3,1,2,1,2,2,1,2,1,1,1,0,1,24,42,5
19,0,3,3,3,4,4,4,4,2,2,1,2,1,0,1,8,39,4
19,1,1,3,3,3,2,2,1,2,2,1,0,3,0,1,18,35,5.5
19,1,1,1,3,1,3,2,2,2,2,1,0,4,0,1,12,48,1
21,1,3,3,1,2,3,3,2,2,2,1,0,3,1,1,8,28,5
21,1,3,1,3,3,1,2,1,1,2,1,2,4,0,0,13,36,1.5
20,1,3,1,2,4,3,3,1,2,2,1,0,1,1,1,7,40,1.5
21,1,3,1,1,4,2,3,1,2,2,2,1,4,0,2,10,44,1.5
19,1,1,1,2,1,3,2,4,1,2,1,1,3,0,0,12,37,0
19,1,1,1,2,3,3,3,2,2,2,3,2,4,0,2,12,35,1
19,0,3,5,3,2,3,2,2,2,2,1,1,1,0,1,19,57,9
20,0,3,3,4,3,1,1,2,1,2,1,0,3,0,1,18,48,5
17,0,2,1,3,1,1,2,2,1,2,1,0,3,0,1,12,47,1
22,1,4,1,2,2,2,2,1,1,2,1,2,3,1,1,21,42,1.5
20,1,3,4,1,4,2,2,1,1,2,3,2,3,1,1,17,58,7.5
20,0,3,1,3,4,2,2,1,3,2,3,0,3,0,1,8,24,1.5
19,1,1,1,4,1,4,3,2,1,2,1,0,4,0,0,10,39,1
20,0,2,1,3,3,1,2,1,1,2,3,0,3,0,1,23,52,1.5
20,1,3,1,3,1,1,1,1,1,2,1,2,3,0,1,11,44,1.5
19,1,1,4,2,3,2,2,4,1,2,1,1,4,1,1,19,56,6
21,1,3,1,2,3,3,2,2,1,2,1,0,3,1,0,10,41,1
20,1,1,5,3,3,1,2,4,2,2,3,0,4,1,1,22,47,8
20,0,3,3,2,2,1,2,1,2,1,3,1,1,0,2,15,52,5.5
19,0,3,1,4,1,1,1,1,1,2,1,0,2,0,0,7,43,1.5
18,0,1,1,4,1,1,2,1,3,1,3,2,1,1,0,17,54,1.5
19,1,1,1,4,4,1,2,1,1,2,1,1,1,0,1,8,36,1.5
20,1,1,1,1,1,1,1,1,3,2,2,0,3,1,1,12,54,1.5
18,1,1,1,1,1,1,1,1,2,2,3,0,4,0,1,21,51,1.5
19,1,1,3,1,3,3,2,2,2,2,1,0,1,1,0,8,45,5
20,1,3,1,1,2,3,3,1,2,2,1,2,4,0,1,15,33,1.5
22,1,1,1,1,1,3,2,2,2,1,2,0,1,0,1,6,49,1
20,1,3,3,1,1,1,1,4,1,2,1,0,1,0,1,10,25,4
17,1,1,1,1,4,1,3,1,2,2,1,2,3,1,1,12,30,1.5
19,1,1,1,3,4,2,2,1,1,2,3,0,1,0,0,14,64,1.5
18,1,1,1,1,4,5,2,2,1,2,1,0,3,1,1,11,50,1
21,2,3,1,2,1,3,2,4,2,2,1,1,1,1,1,18,55,0
21,1,3,3,1,2,2,2,2,2,2,1,1,3,0,1,16,50,5
19,1,1,1,4,4,1,1,1,2,2,1,2,1,0,0,7,53,1.5
19,1,1,1,3,1,2,2,1,1,1,1,1,4,1,0,11,60,1.5
18,1,1,1,2,4,1,2,1,2,2,1,2,3,0,0,6,55,1.5
22,1,3,3,3,2,2,2,1,1,2,1,0,3,0,2,12,47,5.5
20,1,1,4,1,1,2,4,2,3,1,2,1,4,1,2,13,50,7
21,1,3,1,1,1,1,1,1,1,2,1,0,3,1,0,6,48,1.5
18,1,1,4,1,4,3,4,4,2,2,1,2,3,1,1,17,47,6
21,1,3,3,4,1,2,3,4,2,1,1,0,3,0,1,11,51,4
20,0,3,3,3,2,2,2,2,2,1,1,1,1,0,2,12,49,5
20,1,3,3,4,2,3,2,2,2,2,1,0,1,1,1,23,39,5
21,0,3,3,3,1,1,2,2,1,1,1,0,1,0,2,15,52,5
21,1,3,1,3,4,3,2,1,2,2,1,1,2,0,1,18,49,1.5
26,0,5,1,1,2,1,2,1,2,2,3,1,1,0,1,9,60,1.5
19,0,1,1,3,4,1,2,1,2,2,3,2,3,1,1,14,54,1.5
18,1,1,1,4,4,3,2,2,1,2,3,0,3,1,1,8,29,1
21,1,1,4,1,1,1,1,2,1,2,1,0,4,0,0,15,42,7
21,1,3,3,2,3,3,2,2,1,2,1,2,4,1,1,16,43,5
18,1,1,3,3,1,3,2,2,2,2,1,0,4,0,0,6,50,5
20,1,3,1,4,1,1,1,2,1,2,3,0,1,0,1,15,52,1
20,1,3,1,4,4,4,3,1,1,2,1,0,1,1,0,7,32,1.5
19,0,2,3,1,3,3,2,3,2,2,3,2,3,0,0,14,65,4.5
19,1,1,5,1,1,1,1,2,3,1,1,2,1,0,0,24,61,9
20,0,4,3,2,1,1,3,1,3,2,1,0,1,1,0,6,50,5.5
19,1,1,3,3,1,3,3,1,2,2,1,0,3,0,1,12,49,5.5
20,0,3,1,4,1,1,2,1,2,2,2,0,3,0,2,10,50,1.5
21,1,3,1,3,1,2,2,1,4,2,3,1,4,0,1,18,59,1.5
19,0,1,5,1,3,5,4,7,1,1,3,1,1,0,1,29,55,6.5
20,1,3,4,1,2,4,3,1,1,2,1,0,3,1,1,6,20,7.5
19,0,3,1,3,1,3,2,1,2,2,3,1,4,0,1,14,55,1.5
19,0,3,3,1,1,2,1,2,1,2,1,0,2,0,0,15,40,5
21,0,3,3,3,2,3,2,2,2,2,1,1,1,1,1,25,43,5
19,1,1,1,2,1,1,2,1,1,2,1,2,3,0,1,15,41,1.5
19,1,1,4,4,4,4,2,2,2,2,1,0,4,0,1,22,41,7
19,1,1,3,2,4,4,3,2,1,2,1,2,4,0,1,9,25,5
18,0,1,1,3,3,3,1,2,1,2,3,1,1,0,2,25,53,1
20,1,2,3,1,4,1,1,2,1,2,1,0,3,0,0,18,42,5
21,0,3,1,1,4,3,1,1,1,2,1,1,3,0,1,16,56,1.5
20,0,1,3,3,1,2,2,4,2,2,1,0,3,0,2,13,47,4
19,1,1,5,1,2,1,3,4,2,1,2,1,1,1,1,17,47,8
20,0,2,1,2,3,3,1,2,2,2,3,1,3,0,1,20,53,1
24,0,5,1,3,2,1,1,1,2,2,3,1,1,1,1,16,43,1.5
21,1,3,1,1,2,3,2,2,4,1,1,1,3,0,1,15,61,1
20,1,3,3,3,4,4,4,1,1,1,3,0,1,0,2,9,47,5.5
20,1,3,3,2,3,4,3,2,2,2,1,2,1,1,2,16,50,5
20,1,3,3,1,3,3,3,2,2,1,1,2,3,0,1,12,28,5
19,1,1,1,3,1,1,2,1,2,2,3,2,4,0,1,10,61,1.5
23,0,4,1,3,3,2,2,2,2,2,1,2,3,0,0,7,45,1
21,1,3,1,1,3,1,2,1,2,2,3,1,3,0,1,12,51,1.5
20,0,2,4,3,4,3,2,2,1,2,1,1,4,1,1,14,64,7
20,1,2,1,3,1,3,2,2,1,2,1,1,3,0,1,13,52,1
22,1,3,4,4,4,3,3,2,1,2,1,2,1,1,1,16,41,7
19,1,1,1,4,2,3,4,2,2,2,1,2,4,1,0,12,25,1
