Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_1,scl_md_2,scl_md_3,scl_md_4,scl_md_5,scl_md_6,scl_md_ol,lnl_1,lnl_2,lnl_3,lnl_4,lnl_5,lnl_6,lnl_7,lnl_8,lnl_9,lnl_10,lnl_11,lnl_12,lnl_13,lnl_14,lnl_15,lnl_16,lnl_17,lnl_18,lnl_19,lnl_20,lnl_ol,compuls
19,0,3,1,3,1,2,1,2,3,2,1,0,2,0,0,1,3,5,3,3,4,19,3,3,3,4,3,3,1,3,3,3,3,2,3,3,3,4,2,2,4,4,41,1
19,1,1,1,3,2,1,2,2,3,2,1,0,4,1,0,2,1,2,4,2,2,13,1,3,3,4,4,4,1,4,4,3,1,2,2,3,2,3,3,3,4,2,44,1
21,1,1,4,1,2,3,2,2,1,2,1,0,4,0,2,1,1,1,1,1,2,7,2,1,2,3,4,4,4,2,3,2,3,2,4,4,1,4,3,4,4,4,48,7
18,0,1,1,3,3,3,2,1,1,2,3,1,3,0,1,3,2,2,2,2,2,13,3,3,4,3,3,2,2,3,3,3,4,4,4,3,2,3,2,3,4,4,52,1.5
22,0,4,1,3,2,1,1,1,1,2,1,0,4,0,1,1,2,2,1,1,1,8,4,1,1,3,4,3,3,1,3,4,1,2,3,1,4,4,1,1,4,4,28,1.5
20,1,3,1,3,1,1,2,1,1,2,1,0,3,1,0,1,1,1,1,1,1,6,4,1,1,3,3,1,1,2,3,3,1,1,1,1,3,4,1,1,3,3,31,1.5
19,0,2,3,1,4,3,2,2,2,2,1,2,1,1,1,3,1,1,2,2,2,11,3,1,1,2,4,3,1,3,3,4,1,1,1,1,3,4,1,2,4,4,29,5
20,0,3,1,3,1,1,2,1,2,2,1,0,3,0,2,1,1,2,1,1,3,9,1,3,2,3,1,3,4,4,2,2,3,2,3,4,2,1,1,2,3,2,58,1.5
18,0,2,1,4,4,4,2,2,1,2,1,0,3,1,2,1,1,1,3,2,1,9,4,2,1,4,4,3,1,1,3,4,1,2,3,1,3,3,1,1,4,4,28,1
20,0,3,1,3,1,1,2,2,2,2,1,2,1,0,0,1,1,1,1,1,1,6,4,2,3,3,3,3,2,4,3,4,3,3,3,3,2,4,3,3,4,4,45,1
19,1,1,3,1,3,2,3,4,2,2,1,2,3,1,1,3,3,3,3,2,5,19,4,3,3,3,4,3,2,3,4,4,3,3,3,3,3,3,2,3,3,2,45,4
20,0,3,1,3,1,1,2,2,2,2,3,1,1,0,1,2,2,2,2,2,3,13,2,2,2,3,1,2,3,3,3,2,4,3,4,4,4,2,3,4,2,2,59,1
21,0,3,1,3,1,2,2,2,1,2,1,2,1,0,2,1,2,3,3,1,1,11,4,3,1,1,4,3,1,1,3,4,2,3,3,1,3,4,2,2,4,4,35,1
21,0,3,1,4,4,3,3,2,1,2,3,2,4,1,0,3,2,3,1,2,1,12,1,3,2,4,4,2,3,3,3,3,2,1,2,1,3,2,2,2,3,3,43,1
18,0,1,4,3,1,1,2,4,2,2,3,1,3,0,1,3,4,3,3,3,3,19,2,2,3,3,3,4,3,3,3,4,4,4,4,2,3,3,4,3,3,3,51,6
21,1,2,3,2,4,3,3,2,2,2,1,2,1,0,1,2,1,3,2,1,3,12,3,1,1,4,4,2,1,4,2,3,1,2,3,1,4,4,1,2,4,4,33,5
21,1,3,4,2,1,1,1,1,1,2,1,0,3,1,1,1,1,1,1,1,1,6,4,4,4,3,4,3,2,2,4,4,3,4,4,2,2,2,1,1,4,4,43,7.5
18,1,1,1,2,1,3,2,2,2,2,1,2,1,0,0,2,2,3,3,2,3,15,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,3,3,3,3,53,1
18,1,1,1,3,2,2,3,2,2,2,1,1,1,1,1,2,2,3,1,1,3,12,4,2,3,4,3,4,1,2,4,2,2,2,4,2,2,1,1,2,3,3,41,1
18,0,2,3,1,4,1,1,2,1,2,1,0,1,0,1,1,2,3,5,1,2,14,4,1,1,3,3,3,1,3,3,3,2,1,1,1,3,2,3,1,4,4,33,5
21,1,1,1,1,4,5,4,4,4,2,3,2,4,1,2,5,5,3,4,3,3,23,3,2,3,2,3,3,3,2,3,3,2,4,2,4,2,4,4,2,2,3,50,0
21,1,3,3,4,1,2,2,2,2,2,1,1,1,0,0,1,2,1,1,2,1,8,3,3,2,2,3,2,2,3,2,2,2,3,2,1,3,1,2,2,2,1,51,5
21,1,3,1,3,4,1,2,1,1,2,1,1,4,0,1,1,3,2,3,3,3,15,4,3,2,2,3,3,4,3,2,2,2,2,4,4,2,2,3,4,3,3,55,1.5
21,1,2,1,2,1,1,1,2,2,2,1,1,3,0,1,1,1,1,1,1,1,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,53,1
19,1,3,3,1,2,2,2,2,2,2,3,0,3,0,1,3,2,4,3,2,3,17,3,4,2,2,2,3,3,3,2,2,2,3,2,3,3,2,2,2,2,3,52,5
21,1,3,3,1,2,1,2,2,1,2,1,1,1,0,1,3,4,3,5,4,5,24,2,3,4,1,3,4,3,2,3,4,3,2,1,2,4,3,1,2,4,3,42,5
19,0,3,3,3,4,4,4,4,2,2,1,2,1,0,1,1,1,2,1,2,1,8,2,1,3,3,4,2,2,2,2,4,3,1,2,2,3,3,2,2,4,4,39,4
19,1,1,3,3,3,2,2,1,2,2,1,0,3,0,1,1,2,5,5,1,4,18,3,1,1,4,4,4,1,4,2,2,1,2,1,1,2,4,2,4,4,4,35,5.5
19,1,1,1,3,1,3,2,2,2,2,1,0,4,0,1,3,3,3,1,1,1,12,3,1,1,1,4,4,3,1,3,4,3,3,3,2,2,1,4,4,1,4,48,1
21,1,3,3,1,2,3,3,2,2,2,1,0,3,1,1,2,2,1,1,1,1,8,3,1,1,2,4,3,1,1,3,3,1,1,1,1,3,3,1,1,4,4,28,5
21,1,3,1,3,3,1,2,1,1,2,1,2,4,0,0,1,1,1,5,4,1,13,3,2,2,3,4,3,1,3,2,3,1,3,2,2,3,3,1,1,4,4,36,1.5
20,1,3,1,2,4,3,3,1,2,2,1,0,1,1,1,2,1,1,1,1,1,7,4,1,1,3,4,3,2,3,4,4,3,3,3,3,4,3,3,3,3,3,40,1.5
21,1,3,1,1,4,2,3,1,2,2,2,1,4,0,2,2,2,1,1,1,3,10,3,3,2,2,3,3,3,2,3,4,2,3,4,2,3,2,2,2,4,4,44,1.5
19,1,1,1,2,1,3,2,4,1,2,1,1,3,0,0,3,3,3,1,1,1,12,3,3,3,4,4,4,1,1,3,4,1,3,1,1,1,4,3,3,3,3,37,0
19,1,1,1,2,3,3,3,2,2,2,3,2,4,0,2,2,2,1,3,1,3,12,3,3,1,2,4,3,1,3,3,4,1,2,2,2,4,4,2,3,4,4,35,1
19,0,3,5,3,2,3,2,2,2,2,1,1,1,0,1,4,3,3,3,3,3,19,3,3,3,4,3,1,4,3,3,3,3,3,4,4,1,1,3,4,4,4,57,9
20,0,3,3,4,3,1,1,2,1,2,1,0,3,0,1,1,4,3,3,3,4,18,2,3,2,2,3,2,3,3,3,3,4,1,4,4,4,4,1,4,4,4,48,5
17,0,2,1,3,1,1,2,2,1,2,1,0,3,0,1,1,1,4,4,1,1,12,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,4,1,4,4,4,47,1
22,1,4,1,2,2,2,2,1,1,2,1,2,3,1,1,4,2,4,2,5,4,21,3,2,2,3,3,2,2,4,2,4,1,3,1,2,3,4,3,2,3,3,42,1.5
20,1,3,4,1,4,2,2,1,1,2,3,2,3,1,1,2,3,3,4,2,3,17,2,2,3,2,2,2,2,2,3,3,3,3,4,4,2,2,3,4,2,2,58,7.5
20,0,3,1,3,4,2,2,1,3,2,3,0,3,0,1,1,1,3,1,1,1,8,3,1,1,4,4,4,1,1,1,4,1,1,1,1,4,4,1,1,4,4,24,1.5
